iter	Passed	Remaining
0	1	1143
1	2	1172
2	3	1124
3	4	1058
4	5	1052
5	6	1050
6	7	1028
7	8	1027
8	9	1034
9	10	1042
10	11	1046
11	12	1030
12	13	1035
13	14	1029
14	15	1021
15	16	1020
16	17	1015
17	18	1008
18	19	1002
19	20	999
20	21	998
21	22	993
22	23	988
23	24	981
24	25	996
25	26	1010
26	28	1012
27	29	1007
28	30	1005
29	31	1008
30	32	1005
31	33	1002
32	34	1004
33	35	1008
34	36	1003
35	37	996
36	38	995
37	39	995
38	40	993
39	41	989
40	42	985
41	42	979
42	43	979
43	45	978
44	46	978
45	47	983
46	53	1082
47	54	1081
48	55	1076
49	56	1074
50	57	1068
51	58	1069
52	60	1073
53	60	1067
54	62	1068
55	63	1064
56	64	1064
57	65	1058
58	66	1052
59	66	1046
60	67	1041
61	68	1036
62	69	1030
63	70	1027
64	71	1023
65	72	1019
66	73	1017
67	74	1016
68	75	1013
69	76	1010
70	76	1006
71	77	1000
72	78	996
73	79	994
74	80	991
75	81	987
76	82	983
77	82	980
78	83	976
79	84	973
80	85	969
81	86	965
82	87	962
83	87	958
84	88	956
85	89	952
86	90	949
87	91	949
88	92	946
89	93	943
90	94	948
91	95	945
92	96	942
93	97	939
94	98	937
95	99	934
96	100	932
97	101	930
98	101	927
99	102	925
100	103	922
101	104	920
102	105	918
103	106	916
104	107	913
105	107	910
106	108	908
107	109	906
108	110	904
109	111	902
110	112	900
111	113	898
112	114	897
113	115	895
114	116	894
115	117	891
116	117	890
117	118	889
118	119	887
119	120	886
120	121	884
121	122	882
122	124	885
123	125	883
124	126	882
125	126	880
126	127	878
127	128	877
128	129	875
129	130	873
130	131	873
131	132	872
132	138	900
133	139	902
134	141	903
135	141	901
136	142	899
137	143	897
138	144	895
139	145	894
140	146	893
141	147	891
142	148	889
143	149	888
144	150	886
145	151	885
146	152	883
147	153	881
148	154	880
149	154	878
150	156	877
151	156	875
152	157	873
153	158	871
154	159	870
155	160	867
156	161	866
157	162	864
158	163	863
159	164	861
160	165	860
161	166	859
162	167	857
163	167	856
164	169	855
165	169	853
166	170	852
167	172	854
168	173	854
169	174	853
170	175	853
171	176	851
172	177	850
173	178	849
174	179	847
175	180	846
176	181	844
177	182	843
178	183	841
179	184	840
180	185	839
181	186	837
182	187	835
183	188	835
184	189	833
185	190	831
186	191	830
187	192	829
188	192	827
189	193	826
190	194	824
191	195	823
192	196	822
193	197	820
194	198	819
195	199	817
196	200	816
197	201	815
198	202	814
199	203	813
200	204	812
201	205	811
202	206	809
203	207	808
204	208	806
205	208	805
206	209	803
207	210	802
208	211	801
209	212	800
210	213	798
211	214	797
212	215	796
213	216	796
214	217	794
215	218	793
216	219	792
217	220	790
218	221	789
219	222	787
220	222	785
221	223	784
222	224	783
223	225	781
224	226	780
225	227	779
226	228	777
227	229	776
228	230	775
229	231	774
230	232	772
231	233	771
232	234	770
233	235	769
234	236	768
235	236	767
236	238	766
237	239	765
238	239	764
239	240	762
240	241	761
241	242	760
242	243	759
243	244	757
244	245	756
245	246	755
246	247	753
247	248	752
248	249	751
249	250	750
250	251	749
251	252	748
252	252	746
253	253	745
254	254	744
255	255	743
256	256	742
257	257	741
258	258	739
259	259	738
260	260	737
261	261	735
262	262	734
263	263	733
264	264	732
265	265	731
266	266	730
267	267	729
268	268	728
269	268	727
270	270	726
271	270	725
272	271	724
273	272	723
274	273	721
275	274	721
276	275	720
277	276	719
278	278	718
279	279	718
280	280	717
281	281	716
282	282	715
283	283	714
284	284	712
285	285	711
286	286	710
287	286	709
288	287	708
289	288	707
290	289	706
291	290	705
292	291	704
293	292	702
294	293	701
295	294	700
296	295	699
297	296	698
298	297	697
299	298	696
300	299	695
301	300	694
302	301	692
303	302	691
304	303	690
305	304	690
306	305	689
307	306	687
308	307	686
309	308	685
310	308	684
311	309	683
312	310	682
313	311	681
314	312	679
315	313	678
316	314	677
317	315	676
318	316	675
319	317	674
320	318	672
321	318	671
322	319	670
323	321	671
324	323	671
325	324	670
326	325	669
327	326	668
328	327	667
329	327	665
330	328	664
331	329	663
332	330	662
333	332	662
334	333	661
335	334	660
336	335	659
337	336	659
338	337	658
339	338	657
340	339	656
341	340	654
342	341	653
343	342	652
344	343	651
345	344	650
346	345	649
347	346	648
348	347	648
349	348	647
350	349	646
351	350	645
352	351	644
353	352	643
354	353	642
355	354	641
356	356	641
357	357	640
358	357	639
359	359	638
360	359	637
361	360	636
362	361	635
363	362	634
364	363	633
365	365	632
366	366	631
367	367	630
368	368	629
369	369	628
370	370	627
371	371	626
372	372	625
373	373	624
374	373	623
375	375	622
376	376	621
377	377	621
378	378	620
379	379	619
380	380	618
381	381	617
382	382	616
383	383	615
384	384	614
385	385	613
386	386	611
387	387	610
388	388	609
389	389	608
390	389	607
391	391	606
392	392	605
393	393	604
394	394	603
395	395	602
396	395	601
397	397	600
398	397	599
399	398	598
400	399	597
401	400	596
402	401	595
403	402	594
404	403	593
405	404	592
406	405	591
407	406	590
408	407	589
409	408	588
410	409	587
411	410	586
412	411	585
413	412	584
414	413	582
415	414	581
416	415	580
417	416	579
418	417	578
419	418	577
420	419	577
421	421	576
422	422	576
423	423	575
424	425	575
425	426	574
426	426	572
427	427	571
428	428	570
429	430	570
430	431	569
431	432	568
432	433	568
433	434	567
434	435	566
435	436	565
436	437	564
437	438	563
438	439	562
439	440	561
440	441	560
441	442	559
442	444	558
443	445	557
444	446	556
445	447	556
446	449	556
447	450	555
448	452	554
449	453	553
450	454	552
451	455	552
452	456	551
453	457	550
454	458	549
455	459	548
456	460	547
457	461	546
458	463	546
459	464	545
460	465	544
461	467	544
462	468	543
463	469	542
464	470	541
465	471	540
466	472	539
467	473	538
468	474	537
469	475	536
470	476	535
471	477	534
472	479	533
473	480	533
474	481	532
475	482	531
476	483	530
477	484	529
478	485	528
479	486	527
480	487	526
481	488	525
482	490	524
483	491	523
484	492	522
485	493	521
486	494	521
487	495	520
488	497	519
489	498	518
490	499	517
491	500	516
492	501	515
493	502	515
494	503	514
495	504	513
496	505	511
497	507	511
498	508	510
499	509	509
500	510	508
501	512	508
502	513	507
503	514	506
504	515	505
505	516	503
506	517	503
507	518	502
508	519	501
509	520	500
510	522	499
511	524	499
512	525	499
513	527	498
514	528	497
515	529	496
516	530	495
517	531	494
518	532	493
519	533	492
520	534	491
521	535	490
522	537	489
523	538	488
524	539	488
525	540	487
526	541	486
527	542	485
528	543	484
529	544	483
530	545	482
531	546	481
532	547	480
533	549	479
534	550	478
535	551	477
536	553	477
537	554	476
538	555	475
539	556	474
540	558	473
541	558	472
542	559	471
543	560	470
544	561	469
545	563	468
546	564	467
547	565	466
548	566	465
549	568	464
550	569	464
551	570	463
